Id,Samples,Treatment,Replicate,Category,Week,pH,EC,,,"1g soil in 5ml 0.01M CaCl2, shaken end-on-end 1hr, centrifuged 2000rpm 2min"
39,39,FumaricAcid,3,Csubstrate,T0,,,,,
40,40,FumaricAcid,4,Csubstrate,T0,,,,,
41,41,AutoclavedControl,1,Stress,T0,,,,,
42,42,AutoclavedControl,2,Stress,T0,,,,,
43,43,AutoclavedControl,3,Stress,T0,,,,,
44,44,AutoclavedControl,4,Stress,T0,,,,,
45,1,Control,1,Control,T16,,,,,
46,2,Control,2,Control,T16,,,,,
47,3,Control,3,Control,T16,,,,,
48,4,Control,4,Control,T16,,,,,
49,5,Lime,1,AGamend,T16,,,,,
50,6,Lime,2,AGamend,T16,,,,,
51,7,Lime,3,AGamend,T16,,,,,
52,8,Lime,4,AGamend,T16,,,,,
53,9,CitricAcid,1,Csubstrate,T16,,,,,
54,10,CitricAcid,2,Csubstrate,T16,,,,,
55,11,CitricAcid,3,Csubstrate,T16,,,,,
56,12,CitricAcid,4,Csubstrate,T16,,,,,
57,13,H2O2,1,Stress,T16,,,,,
58,14,H2O2,2,Stress,T16,,,,,
59,15,H2O2,3,Stress,T16,,,,,
60,16,H2O2,4,Stress,T16,,,,,
61,17,Inositol,1,Csubstrate,T16,,,,,
62,18,Inositol,2,Csubstrate,T16,,,,,
63,19,Inositol,3,Csubstrate,T16,,,,,
64,20,Inositol,4,Csubstrate,T16,,,,,
65,21,PoultryLitter,1,AGamend,T16,,,,,
66,22,PoultryLitter,2,AGamend,T16,,,,,
67,23,PoultryLitter,3,AGamend,T16,,,,,
68,24,PoultryLitter,4,AGamend,T16,,,,,
69,25,Biochar,1,AGamend,T16,,,,,
70,26,Biochar,2,AGamend,T16,,,,,
71,27,Biochar,3,AGamend,T16,,,,,
72,28,Biochar,4,AGamend,T16,,,,,
73,29,SodiumFormate,1,Csubstrate,T16,,,,,
74,30,SodiumFormate,2,Csubstrate,T16,,,,,
75,31,SodiumFormate,3,Csubstrate,T16,,,,,
76,32,SodiumFormate,4,Csubstrate,T16,,,,,
77,33,SodiumAcetate,1,Csubstrate,T16,,,,,
78,34,SodiumAcetate,2,Csubstrate,T16,,,,,
79,35,SodiumAcetate,3,Csubstrate,T16,,,,,
80,36,SodiumAcetate,4,Csubstrate,T16,,,,,
81,37,FumaricAcid,1,Csubstrate,T16,,,,,
82,38,FumaricAcid,2,Csubstrate,T16,,,,,
83,39,FumaricAcid,3,Csubstrate,T16,,,,,
84,40,FumaricAcid,4,Csubstrate,T16,,,,,
85,41,AutoclavedControl,1,Stress,T16,,,,,
86,42,AutoclavedControl,2,Stress,T16,,,,,
87,43,AutoclavedControl,3,Stress,T16,,,,,
88,44,AutoclavedControl,4,Stress,T16,,,,,
89,1,Control,1,Control,T39,,,,,
90,2,Control,2,Control,T39,,,,,
91,3,Control,3,Control,T39,,,,,
92,4,Control,4,Control,T39,,,,,
93,5,Lime,1,AGamend,T39,,,,,
94,6,Lime,2,AGamend,T39,,,,,
95,7,Lime,3,AGamend,T39,,,,,
96,8,Lime,4,AGamend,T39,,,,,
97,9,CitricAcid,1,Csubstrate,T39,,,,,
98,10,CitricAcid,2,Csubstrate,T39,,,,,
99,11,CitricAcid,3,Csubstrate,T39,,,,,
100,12,CitricAcid,4,Csubstrate,T39,,,,,
101,13,H2O2,1,Stress,T39,,,,,
102,14,H2O2,2,Stress,T39,,,,,
103,15,H2O2,3,Stress,T39,,,,,
104,16,H2O2,4,Stress,T39,,,,,
105,17,Inositol,1,Csubstrate,T39,,,,,
106,18,Inositol,2,Csubstrate,T39,,,,,
107,19,Inositol,3,Csubstrate,T39,,,,,
108,20,Inositol,4,Csubstrate,T39,,,,,
109,21,PoultryLitter,1,AGamend,T39,,,,,
110,22,PoultryLitter,2,AGamend,T39,,,,,
111,23,PoultryLitter,3,AGamend,T39,,,,,
112,24,PoultryLitter,4,AGamend,T39,,,,,
113,25,Biochar,1,AGamend,T39,,,,,
114,26,Biochar,2,AGamend,T39,,,,,
115,27,Biochar,3,AGamend,T39,,,,,
116,28,Biochar,4,AGamend,T39,,,,,
117,29,SodiumFormate,1,Csubstrate,T39,,,,,
118,30,SodiumFormate,2,Csubstrate,T39,,,,,
119,31,SodiumFormate,3,Csubstrate,T39,,,,,
120,32,SodiumFormate,4,Csubstrate,T39,,,,,
121,33,SodiumAcetate,1,Csubstrate,T39,,,,,
122,34,SodiumAcetate,2,Csubstrate,T39,,,,,
123,35,SodiumAcetate,3,Csubstrate,T39,,,,,
124,36,SodiumAcetate,4,Csubstrate,T39,,,,,
125,37,FumaricAcid,1,Csubstrate,T39,,,,,
126,38,FumaricAcid,2,Csubstrate,T39,,,,,
127,39,FumaricAcid,3,Csubstrate,T39,,,,,
128,40,FumaricAcid,4,Csubstrate,T39,,,,,
129,41,AutoclavedControl,1,Stress,T39,,,,,
130,42,AutoclavedControl,2,Stress,T39,,,,,
131,43,AutoclavedControl,3,Stress,T39,,,,,
132,44,AutoclavedControl,4,Stress,T39,,,,,
133,1,Control,1,Control,T52,,,,,
134,2,Control,2,Control,T52,,,,,
135,3,Control,3,Control,T52,,,,,
136,4,Control,4,Control,T52,,,,,
137,5,Lime,1,AGamend,T52,,,,,
138,6,Lime,2,AGamend,T52,,,,,
139,7,Lime,3,AGamend,T52,,,,,
140,8,Lime,4,AGamend,T52,,,,,
141,9,CitricAcid,1,Csubstrate,T52,,,,,
142,10,CitricAcid,2,Csubstrate,T52,,,,,
143,11,CitricAcid,3,Csubstrate,T52,,,,,
144,12,CitricAcid,4,Csubstrate,T52,,,,,
145,13,H2O2,1,Stress,T52,,,,,
146,14,H2O2,2,Stress,T52,,,,,
147,15,H2O2,3,Stress,T52,,,,,
148,16,H2O2,4,Stress,T52,,,,,
149,17,Inositol,1,Csubstrate,T52,,,,,
150,18,Inositol,2,Csubstrate,T52,,,,,
151,19,Inositol,3,Csubstrate,T52,,,,,
152,20,Inositol,4,Csubstrate,T52,,,,,
153,21,PoultryLitter,1,AGamend,T52,,,,,
154,22,PoultryLitter,2,AGamend,T52,,,,,
155,23,PoultryLitter,3,AGamend,T52,,,,,
156,24,PoultryLitter,4,AGamend,T52,,,,,
157,25,Biochar,1,AGamend,T52,,,,,
158,26,Biochar,2,AGamend,T52,,,,,
159,27,Biochar,3,AGamend,T52,,,,,
160,28,Biochar,4,AGamend,T52,,,,,
161,29,SodiumFormate,1,Csubstrate,T52,,,,,
162,30,SodiumFormate,2,Csubstrate,T52,,,,,
163,31,SodiumFormate,3,Csubstrate,T52,,,,,
164,32,SodiumFormate,4,Csubstrate,T52,,,,,
165,33,SodiumAcetate,1,Csubstrate,T52,,,,,
166,34,SodiumAcetate,2,Csubstrate,T52,,,,,
167,35,SodiumAcetate,3,Csubstrate,T52,,,,,
168,36,SodiumAcetate,4,Csubstrate,T52,,,,,
169,37,FumaricAcid,1,Csubstrate,T52,,,,,
170,38,FumaricAcid,2,Csubstrate,T52,,,,,
171,39,FumaricAcid,3,Csubstrate,T52,,,,,
172,40,FumaricAcid,4,Csubstrate,T52,,,,,
173,41,AutoclavedControl,1,Stress,T52,,,,,
174,42,AutoclavedControl,2,Stress,T52,,,,,
175,43,AutoclavedControl,3,Stress,T52,,,,,
176,44,AutoclavedControl,4,Stress,T52,,,,,
